batch_id,split,anomaly_type,total_duration_min,final_conversion_pct
1,train,NONE,330,100.0
2,train,NONE,330,100.0
3,train,NONE,330,100.0
4,train,NONE,330,100.0
5,train,NONE,330,100.0
6,train,COOLING_SPIKE,330,100.0
7,train,NONE,330,100.0
8,train,NONE,330,100.0
9,train,FEED_PAUSE,330,100.0
10,train,NONE,330,100.0
11,train,NONE,330,100.0
12,train,NONE,330,100.0
13,train,NONE,330,100.0
14,train,SURFACE_FOAMING,330,100.0
15,train,NONE,330,100.0
16,train,NONE,330,100.0
17,train,NONE,330,100.0
18,train,NONE,330,100.0
19,train,NONE,330,100.0
20,train,NONE,330,100.0
21,train,NONE,330,100.0
22,train,NONE,330,100.0
23,train,FEED_PAUSE,330,100.0
24,train,NONE,330,100.0
25,train,NONE,330,100.0
26,train,NONE,330,100.0
27,train,SURFACE_FOAMING,330,100.0
28,train,NONE,330,100.0
29,train,SURFACE_FOAMING,330,100.0
30,train,NONE,330,100.0
31,train,NONE,330,100.0
32,train,NONE,330,100.0
33,train,NONE,330,100.0
34,train,NONE,330,100.0
35,train,NONE,330,100.0
36,train,FEED_PAUSE,330,100.0
37,train,NONE,330,100.0
38,train,FEED_PAUSE,330,100.0
39,train,NONE,330,100.0
40,train,NONE,330,100.0
41,train,NONE,330,100.0
42,train,NONE,330,100.0
43,train,NONE,330,100.0
44,train,NONE,330,100.0
45,train,NONE,330,100.0
46,train,NONE,330,100.0
47,train,NONE,330,100.0
48,train,NONE,330,100.0
49,train,NONE,330,100.0
50,train,NONE,330,100.0
51,train,NONE,330,100.0
52,train,NONE,330,100.0
53,train,NONE,330,100.0
54,train,COOLING_SPIKE,330,100.0
55,train,NONE,330,100.0
56,train,NONE,330,100.0
57,train,NONE,330,100.0
58,train,NONE,330,100.0
59,train,NONE,330,100.0
60,train,NONE,330,100.0
61,train,SURFACE_FOAMING,330,100.0
62,train,COOLING_SPIKE,330,100.0
63,train,NONE,330,100.0
64,train,NONE,330,100.0
65,train,NONE,330,100.0
66,train,NONE,330,100.0
67,train,COOLING_SPIKE,330,100.0
68,train,NONE,330,100.0
69,train,NONE,330,100.0
70,train,SURFACE_FOAMING,330,100.0
71,train,NONE,330,100.0
72,train,NONE,330,100.0
73,train,NONE,330,100.0
74,train,NONE,330,100.0
75,train,NONE,330,100.0
76,train,NONE,330,100.0
77,train,NONE,330,100.0
78,train,NONE,330,100.0
79,train,COOLING_SPIKE,330,100.0
80,train,NONE,330,100.0
81,train,NONE,330,100.0
82,train,NONE,330,100.0
83,train,NONE,330,100.0
84,train,NONE,330,100.0
85,test,COOLING_SPIKE,330,100.0
86,test,NONE,330,100.0
87,test,COMPOUND_CASCADE,330,100.0
88,test,NONE,330,100.0
89,test,NONE,330,100.0
90,test,COMPOUND_FOAM_COOLING,330,100.0
91,test,NONE,330,100.0
92,test,COMPOUND_FOAM_COOLING,330,100.0
93,test,SENSOR_DRIFT,330,100.0
94,test,SENSOR_DRIFT,330,100.0
95,test,COMPOUND_FOAM_COOLING,330,100.0
96,test,COMPOUND_CASCADE,330,100.0
97,test,COMPOUND_FOAM_COOLING,330,100.0
98,test,NONE,330,100.0
99,test,NONE,330,100.0
100,test,NONE,330,100.0
101,test,NONE,330,100.0
102,test,NONE,330,100.0
103,test,SENSOR_DRIFT,330,100.0
104,test,SURFACE_FOAMING,330,100.0
105,test,SURFACE_FOAMING,330,100.0
106,test,NONE,330,100.0
107,test,COMPOUND_CASCADE,330,100.0
108,test,COMPOUND_CASCADE,330,100.0
109,test,COMPOUND_FOAM_COOLING,330,100.0
110,test,NONE,330,100.0
111,test,SENSOR_DRIFT,330,100.0
112,test,NONE,330,100.0
113,test,COOLING_SPIKE,330,100.0
114,test,NONE,330,100.0
115,test,FEED_PAUSE,330,100.0
116,test,NONE,330,100.0
117,test,NONE,330,100.0
118,test,COMPOUND_CASCADE,330,100.0
119,test,NONE,330,100.0
120,test,FEED_PAUSE,330,100.0
