batch_id,time_step_min,reaction_conversion_pct
53,0,0.0
53,1,0.0
53,2,0.0
53,3,0.0
53,4,0.0
53,5,0.0
53,6,0.0
53,7,0.0
53,8,0.0
53,9,0.0
53,10,0.0
53,11,0.0
53,12,0.0
53,13,0.0
53,14,0.0
53,15,0.0
53,16,0.0
53,17,0.0
53,18,0.0
53,19,0.0
53,20,0.0
53,21,1.9572
53,22,4.2907
53,23,5.8162
53,24,6.8851
53,25,7.9612
53,26,9.0436
53,27,10.1313
53,28,11.2235
53,29,12.3195
53,30,13.4188
53,31,14.5208
53,32,15.6252
53,33,16.7315
53,34,17.8396
53,35,18.9491
53,36,20.0599
53,37,21.1716
53,38,22.2843
53,39,23.3977
53,40,24.5118
53,41,25.6264
53,42,26.7415
53,43,27.8569
53,44,28.9727
53,45,30.0888
53,46,31.2051
53,47,32.3217
53,48,33.4384
53,49,34.5552
53,50,35.6722
53,51,36.7893
53,52,37.9065
53,53,39.0237
53,54,40.141
53,55,41.2584
53,56,42.3758
53,57,43.4933
53,58,44.6108
53,59,45.7283
53,60,46.8459
53,61,47.9634
53,62,49.081
53,63,50.1986
53,64,51.3162
53,65,52.4339
53,66,53.5515
53,67,54.6691
53,68,55.7868
53,69,56.9045
53,70,58.0221
53,71,59.1398
53,72,60.2575
53,73,61.3751
53,74,62.4928
53,75,63.6105
53,76,64.7282
53,77,65.8459
53,78,66.9635
53,79,68.0812
53,80,69.1989
53,81,70.3166
53,82,71.4343
53,83,72.552
53,84,73.6697
53,85,74.7873
53,86,75.905
53,87,77.0227
53,88,78.1404
53,89,79.2581
53,90,80.3758
53,91,81.4935
53,92,82.6112
53,93,83.7289
53,94,84.8465
53,95,85.9581
53,96,86.9894
53,97,87.9607
53,98,88.8761
53,99,89.7363
53,100,90.5414
53,101,91.2924
53,102,91.9862
53,103,92.6247
53,104,93.2104
53,105,93.7436
53,106,94.226
53,107,94.6603
53,108,95.0497
53,109,95.3979
53,110,95.7088
53,111,95.9862
53,112,96.2338
53,113,96.4549
53,114,96.6527
53,115,96.8299
53,116,96.9891
53,117,97.1325
53,118,97.262
53,119,97.3793
53,120,97.4859
53,121,97.583
53,122,97.6717
53,123,97.7531
53,124,97.828
53,125,97.8972
53,126,97.9613
53,127,98.021
53,128,98.0765
53,129,98.1284
53,130,98.177
53,131,98.2227
53,132,98.2657
53,133,98.3062
53,134,98.3445
53,135,98.3809
53,136,98.4153
53,137,98.4481
53,138,98.4794
53,139,98.5092
53,140,98.5378
53,141,98.5651
53,142,98.5913
53,143,98.6165
53,144,98.6408
53,145,98.6641
53,146,98.6866
53,147,98.7084
53,148,98.7294
53,149,98.7498
53,150,98.7695
53,151,98.7886
53,152,98.8072
53,153,98.8252
53,154,98.8428
53,155,98.8598
53,156,98.8765
53,157,98.8927
53,158,98.9085
53,159,98.9239
53,160,98.939
53,161,98.9538
53,162,98.9682
