batch_id,time_step_min,current_step_id,raw_material_purity_coa,vessel_weight_kg,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
76,0,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,1,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,2,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,3,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,4,1,97.3,0.0,24.9,25.0,-0.1,0.0,1.0,0.0,0.0,,NONE
76,5,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,6,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,7,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,8,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,9,1,97.3,0.0,25.1,25.0,0.1,0.0,1.0,0.0,0.0,,NONE
76,10,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,11,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,12,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,13,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,14,1,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,15,2,97.3,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
76,16,2,97.3,88.6,25.3,24.8,0.5,0.0,0.92,0.0,0.0,,NONE
76,17,2,97.3,177.2,25.5,24.9,0.6,0.0,0.94,0.0,0.0,,NONE
76,18,2,97.3,265.8,25.5,25.0,0.5,0.0,0.95,0.0,0.0,,NONE
76,19,2,97.3,354.5,25.5,25.1,0.4,0.0,0.95,0.0,0.0,,NONE
76,20,2,97.3,443.1,25.6,25.2,0.4,0.0,0.94,0.0,0.0,,NONE
76,21,2,97.3,531.7,25.6,25.2,0.4,0.0,0.95,0.0,0.0,,NONE
76,22,2,97.3,620.3,25.6,25.2,0.4,0.0,0.95,0.0,0.0,,NONE
76,23,2,97.3,708.9,25.6,25.1,0.5,0.0,0.96,0.0,0.0,,NONE
76,24,2,97.3,797.5,25.7,25.3,0.4,0.0,0.96,0.0,0.0,,NONE
76,25,2,97.3,886.1,25.6,25.3,0.3,152.0,1.0,0.0,0.0,,NONE
76,26,2,97.3,974.8,25.7,25.2,0.5,152.2,0.97,0.0,0.0,,NONE
76,27,2,97.3,1063.4,25.9,25.4,0.5,154.4,0.97,0.0,0.0,,NONE
76,28,2,97.3,1152.0,25.7,25.3,0.4,157.6,0.97,0.0,0.0,,NONE
76,29,2,97.3,1240.6,25.8,25.3,0.5,155.6,0.98,0.0,0.0,,NONE
76,30,2,97.3,1329.2,25.7,25.4,0.3,155.8,1.01,0.0,0.0,,NONE
76,31,2,97.3,1417.8,25.7,25.4,0.3,153.8,1.01,0.0,0.0,,NONE
76,32,2,97.3,1506.4,25.6,25.4,0.2,151.4,1.05,0.0,0.0,,NONE
76,33,2,97.3,1595.0,25.7,25.4,0.3,152.3,1.05,0.0,0.0,,NONE
76,34,2,97.3,1683.7,25.7,25.4,0.3,153.8,1.03,0.0,0.0,,NONE
76,35,2,97.3,1772.3,25.7,25.1,0.6,153.6,1.04,0.0,0.0,,NONE
76,36,2,97.3,1860.9,25.6,25.1,0.5,151.3,1.04,0.0,0.0,,NONE
76,37,2,97.3,1949.5,25.7,25.0,0.7,152.4,1.04,0.0,0.0,,NONE
76,38,2,97.3,2038.1,25.7,25.1,0.6,151.8,1.02,0.0,0.0,,NONE
76,39,2,97.3,2126.7,25.6,25.1,0.5,151.7,1.0,0.0,0.0,,NONE
76,40,2,97.3,2215.3,25.7,25.1,0.6,151.7,1.0,0.0,0.0,,NONE
76,41,2,97.3,2304.0,25.6,25.1,0.5,154.1,1.02,0.0,0.0,,NONE
76,42,2,97.3,2392.6,25.6,25.2,0.4,152.8,0.99,0.0,0.0,,NONE
76,43,2,97.3,2481.2,25.5,25.1,0.4,151.4,0.98,0.0,0.0,,NONE
76,44,2,97.3,2569.8,25.5,25.1,0.4,148.5,0.98,0.0,0.0,,NONE
76,45,2,97.3,2658.4,25.5,25.0,0.5,148.5,0.99,0.0,0.0,,NONE
76,46,2,97.3,2747.0,25.4,24.9,0.5,150.1,1.04,0.0,0.0,,NONE
76,47,2,97.3,2835.6,25.5,24.9,0.6,151.5,1.05,0.0,0.0,,NONE
76,48,2,97.3,2924.2,25.4,25.0,0.4,152.3,1.04,0.0,0.0,,NONE
76,49,2,97.3,3012.9,25.4,25.1,0.3,152.4,1.04,0.0,0.0,,NONE
76,50,2,97.3,3101.5,25.3,25.0,0.3,151.7,1.0,0.0,0.0,,NONE
76,51,2,97.3,3190.1,25.3,25.1,0.2,152.2,0.99,0.0,0.0,,NONE
76,52,2,97.3,3278.7,25.2,25.3,-0.1,150.4,1.01,0.0,0.0,,NONE
76,53,2,97.3,3367.3,25.1,25.3,-0.2,147.6,0.98,0.0,0.0,,NONE
76,54,2,97.3,3455.9,25.2,25.2,0.0,148.9,0.99,0.0,0.0,,NONE
76,55,2,97.3,3544.5,25.2,25.3,-0.1,151.2,1.0,0.0,0.0,,NONE
76,56,2,97.3,3633.2,25.1,25.2,-0.1,150.8,1.02,0.0,0.0,,NONE
76,57,2,97.3,3721.8,25.1,25.2,-0.1,152.9,1.01,0.0,0.0,,NONE
76,58,2,97.3,3810.4,25.2,25.0,0.2,149.8,1.02,0.0,0.0,,NONE
