batch_id,time_step_min,current_step_id,raw_material_purity_coa,vessel_weight_kg,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
96,0,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,1,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,2,1,100.342,0.0,25.1,25.0,0.1,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,3,1,100.342,0.0,24.9,25.0,-0.1,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,4,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,5,1,100.342,0.0,25.1,25.0,0.1,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,6,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,7,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,8,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,9,1,100.342,0.0,25.1,25.0,0.1,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,10,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,11,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,12,1,100.342,0.0,24.9,25.0,-0.1,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,13,1,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,14,1,100.342,0.0,24.9,25.0,-0.1,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,15,2,100.342,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,16,2,100.342,88.6,24.9,25.1,-0.2,0.0,1.01,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,17,2,100.342,177.2,24.8,25.2,-0.4,0.0,1.01,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,18,2,100.342,265.8,24.9,25.1,-0.2,0.0,1.03,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,19,2,100.342,354.5,24.7,25.1,-0.4,0.0,1.08,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,20,2,100.342,443.1,24.7,25.2,-0.5,0.0,1.06,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,21,2,100.342,531.7,24.8,25.2,-0.4,0.0,1.08,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,22,2,100.342,620.3,24.7,25.3,-0.6,0.0,1.08,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,23,2,100.342,708.9,24.8,25.2,-0.4,0.0,1.05,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,24,2,100.342,797.5,24.8,25.2,-0.4,0.0,1.07,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,25,2,100.342,886.1,25.0,25.3,-0.3,151.4,1.04,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,26,2,100.342,974.8,24.9,25.2,-0.3,151.3,1.04,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,27,2,100.342,1063.4,25.0,25.4,-0.4,152.4,1.04,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,28,2,100.342,1152.0,24.9,25.3,-0.4,150.2,1.05,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,29,2,100.342,1240.6,25.0,25.3,-0.3,154.3,1.05,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,30,2,100.342,1329.2,25.0,25.4,-0.4,151.2,1.06,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
96,31,2,100.342,1417.8,24.9,25.5,-0.6,150.9,1.03,0.0,0.0,Cascade: Step 5 cooling spike tripped auto feed pause (+5 min); T_rx drift +0.5°C.,COMPOUND_CASCADE
