batch_id,time_step_min,current_step_id,raw_material_purity_coa,vessel_weight_kg,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
99,0,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,1,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,2,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,3,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,4,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,5,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,6,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,7,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,8,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,9,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,10,1,98.419,0.0,24.9,25.0,-0.1,0.0,1.0,0.0,0.0,,NONE
99,11,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,12,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,13,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,14,1,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,15,2,98.419,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
99,16,2,98.419,88.6,25.3,25.4,-0.1,0.0,1.03,0.0,0.0,,NONE
99,17,2,98.419,177.2,25.2,25.5,-0.3,0.0,1.02,0.0,0.0,,NONE
99,18,2,98.419,265.8,25.3,25.6,-0.3,0.0,1.04,0.0,0.0,,NONE
99,19,2,98.419,354.5,25.3,25.5,-0.2,0.0,1.03,0.0,0.0,,NONE
99,20,2,98.419,443.1,25.2,25.4,-0.2,0.0,1.05,0.0,0.0,,NONE
99,21,2,98.419,531.7,25.3,25.5,-0.2,0.0,1.03,0.0,0.0,,NONE
99,22,2,98.419,620.3,25.2,25.5,-0.3,0.0,1.03,0.0,0.0,,NONE
99,23,2,98.419,708.9,25.5,25.6,-0.1,0.0,1.03,0.0,0.0,,NONE
99,24,2,98.419,797.5,25.3,25.6,-0.3,0.0,1.0,0.0,0.0,,NONE
99,25,2,98.419,886.1,25.3,25.6,-0.3,149.7,0.96,0.0,0.0,,NONE
99,26,2,98.419,974.8,25.2,25.7,-0.5,149.0,0.94,0.0,0.0,,NONE
99,27,2,98.419,1063.4,25.2,25.7,-0.5,149.5,0.9,0.0,0.0,,NONE
99,28,2,98.419,1152.0,25.3,25.5,-0.2,149.4,0.89,0.0,0.0,,NONE
99,29,2,98.419,1240.6,25.1,25.6,-0.5,152.5,0.88,0.0,0.0,,NONE
99,30,2,98.419,1329.2,25.1,25.6,-0.5,152.1,0.89,0.0,0.0,,NONE
99,31,2,98.419,1417.8,25.2,25.6,-0.4,149.8,0.91,0.0,0.0,,NONE
99,32,2,98.419,1506.4,25.3,25.6,-0.3,147.6,0.88,0.0,0.0,,NONE
99,33,2,98.419,1595.0,25.4,25.5,-0.1,147.5,0.86,0.0,0.0,,NONE
99,34,2,98.419,1683.7,25.4,25.4,0.0,147.1,0.85,0.0,0.0,,NONE
99,35,2,98.419,1772.3,25.3,25.4,-0.1,147.8,0.87,0.0,0.0,,NONE
99,36,2,98.419,1860.9,25.4,25.3,0.1,149.3,0.92,0.0,0.0,,NONE
99,37,2,98.419,1949.5,25.4,25.1,0.3,151.6,0.88,0.0,0.0,,NONE
99,38,2,98.419,2038.1,25.3,25.1,0.2,152.2,0.9,0.0,0.0,,NONE
99,39,2,98.419,2126.7,25.2,25.0,0.2,151.0,0.9,0.0,0.0,,NONE
99,40,2,98.419,2215.3,25.3,25.1,0.2,147.3,0.89,0.0,0.0,,NONE
99,41,2,98.419,2304.0,25.2,25.1,0.1,148.2,0.9,0.0,0.0,,NONE
99,42,2,98.419,2392.6,25.3,25.1,0.2,149.2,0.9,0.0,0.0,,NONE
99,43,2,98.419,2481.2,25.3,25.2,0.1,149.4,0.96,0.0,0.0,,NONE
99,44,2,98.419,2569.8,25.3,25.2,0.1,149.9,0.98,0.0,0.0,,NONE
99,45,2,98.419,2658.4,25.2,25.1,0.1,150.5,1.01,0.0,0.0,,NONE
99,46,2,98.419,2747.0,25.2,25.1,0.1,148.6,0.99,0.0,0.0,,NONE
99,47,2,98.419,2835.6,25.1,25.0,0.1,151.8,0.98,0.0,0.0,,NONE
99,48,2,98.419,2924.2,25.2,25.1,0.1,150.6,0.96,0.0,0.0,,NONE
